@@,name,position
---,José Guirao,Minister of Culture and Sport
---,Isabel Rodríguez,Spokesperson of the Government of Spain
---,Isabel Rodríguez,Minister for Territorial Policy
---,Fátima Báñez,"minister of Labor, Migration and Social Security"
+++,Teresa Ribera Rodríguez,Third Vice-President of the Government of Spain
+++,José Manuel Albares Bueno,"Minister for Foreign Affairs, European Union and Cooperation"
+++,Isabel Rodríguez García,Minister for Territorial Policy and Government Spokesperson
