ordinal,item,itemLabel,inception,inceptionPrecision,startTime,startTimePrecision,abolished,abolishedPrecision,endTime,endTimePrecision,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
,Q3477032,2nd Government under the restored Monarchy of Spain,1976-07-08,11,,,1977-07-05,11,,,Q3401713,Q3401713,Q2625009,Government of the Constituent Legislature of Spain,,,,
,Q2625009,Government of the Constituent Legislature of Spain,1977-07-05,11,1977-01-01,9,1979-04-06,11,1979-04-06,11,Q3477032,2nd Government under the restored Monarchy of Spain,Q2704261,Government of the 1st Legislature of Spain,,,,
,Q2704261,Government of the 1st Legislature of Spain,1979-04-06,11,1979-04-06,11,1981-02-27,11,1981-02-27,11,Q2625009,Government of the Constituent Legislature of Spain,Q27440988,Calvo-Sotelo Cabinet,,,,
,Q27440988,Calvo-Sotelo Cabinet,1981-02-27,11,,,1982-12-03,11,1982-12-03,11,Q2704261,Government of the 1st Legislature of Spain,Q2303361,Government of the 2nd Legislature of Spain,,,,
,Q27440988,Calvo-Sotelo Cabinet,1982-02-27,11,,,1982-12-03,11,1982-12-03,11,Q2704261,Government of the 1st Legislature of Spain,Q2303361,Government of the 2nd Legislature of Spain,,,,
,Q2303361,Government of the 2nd Legislature of Spain,1982-12-03,11,,,1986-07-26,11,,,Q27440988,Calvo-Sotelo Cabinet,Q2145807,González II Government,,,Q2145807,González II Government
,Q2145807,González II Government,1986-07-26,11,,,1989-12-07,11,,,Q2303361,Government of the 2nd Legislature of Spain,Q2303383,González III Government,Q2303361,Government of the 2nd Legislature of Spain,,
,Q2303383,González III Government,1989-12-07,11,,,1993-07-14,11,,,Q2145807,González II Government,Q2551406,Government of the 5th Legislature of Spain,,,,
,Q94534590,2nd Sáenz Cabinet,1991-07-08,11,,,1995-07-10,11,,,,,,,,,,
,Q2551406,Government of the 5th Legislature of Spain,1993-07-14,11,1993-01-01,9,1996-05-06,11,1996-01-01,9,Q2303383,González III Government,Q921002,Government of the 6th Legislature of Spain,,,,
,Q921002,Government of the 6th Legislature of Spain,1996-05-06,11,1996-01-01,9,2000-04-28,11,2000-01-01,9,Q2551406,Government of the 5th Legislature of Spain,Q2551849,Government of the 7th Legislature of Spain,,,,
,Q2551849,Government of the 7th Legislature of Spain,2000-04-28,11,2000-04-28,11,2004-04-18,11,2004-04-18,11,Q921002,Government of the 6th Legislature of Spain,Q912395,Government of the 8th Legislature of Spain,,,,
,Q912395,Government of the 8th Legislature of Spain,2004-01-01,9,,,2008-01-01,9,,,Q2551849,Government of the 7th Legislature of Spain,Q1720822,Government of the 9th Legislature of Spain,,,,
,Q1720822,Government of the 9th Legislature of Spain,2008-01-01,9,,,2011-01-01,9,,,Q912395,Government of the 8th Legislature of Spain,Q1720236,Government of the 10th Legislature of Spain,,,,
,Q1720236,Government of the 10th Legislature of Spain,2011-12-21,11,,,2016-11-04,11,,,Q1720822,Government of the 9th Legislature of Spain,Q27651679,Second Rajoy Cabinet,,,,
,Q28712294,Q28712294,2015-12-22,11,,,2016-11-04,11,,,Q1720236,Government of the 10th Legislature of Spain,Q27651679,Second Rajoy Cabinet,,,,
,Q27651679,Second Rajoy Cabinet,2016-11-04,11,,,2018-06-07,11,,,Q1720236,Government of the 10th Legislature of Spain,Q54628955,Sánchez I Government,,,,
,Q27651679,Second Rajoy Cabinet,2016-11-04,11,,,2018-06-07,11,,,Q28712294,Q28712294,Q54628955,Sánchez I Government,,,,
,Q54628955,Sánchez I Government,2018-06-07,11,,,2020-01-13,11,,,Q27651679,Second Rajoy Cabinet,Q80922158,Sánchez II Government,,,,
,Q80922158,Sánchez II Government,2020-01-13,11,,,,,,,Q54628955,Sánchez I Government,,,,,,
