position,title
Q58637583,monarch
Q844587,Prime Minister
Q3113035,Deputy Prime Minister
Q37936537,First Deputy Prime Minister
Q6366492,Second Deputy Prime Minister
Q6366494,Third Deputy Prime Minister
Q43157117,"Minister for Agriculture, Fisheries and Food"
Q81926467,Minister for Consumer Affairs
Q45347945,Minister of Culture
Q54909241,Minister of Culture and Sport
Q26227641,Minister of Defence
Q54906062,Minister for Ecological Transition
Q54905731,Minister for the Economy and Digital Transformation
Q50364180,Minister of Economy and Competitiveness
Q25513965,Minister of Economy and Finance
Q50364143,"Minister of Economy, Industry and Competitiveness"
Q43105847,Minister of Education
Q43147735,Minister of Education and Culture
Q26252488,"Minister of Education, Culture and Sport"
Q35959997,Minister of Education and Science
Q54907685,Minister of Education and Vocational Training
Q43102546,Minister of the Environment
Q81923820,Minister for Equality
Q25907267,Minister of Finance and Public Administrations
Q26262159,Minister of Foreign Affairs and Cooperation
Q32969906,Minister of Foreign Affairs
Q54877757,"Minister of Foreign Affairs, European Union and Foreign Aid"
Q25672112,Minister of Foreign Affairs
Q45140838,Minister of Health and Social Policy
Q43184108,"Minister of Health, Social Services and Equality"
Q56582340,"Minister of Health, Consumer Affairs and Welfare"
Q85835511,Minister of Health
Q108125366,"Minister for Inclusion, Social Security and Migration"
Q45322103,Minister of Industry and Energy
Q47273791,"Ministry of Industry, Energy, and Tourism"
Q54849885,"Minister of Industry, Commerce, and Tourism"
Q26248440,Minister of the Interior
Q24279063,Minister of Justice
Q87001438,"Minister of Labor, Migration and Social Security"
Q47012997,Minister of Labour and Immigration
Q43120886,Minister of the Presidency
Q43157412,Minister of Public Administration
Q16871885,Minister of Public Works
Q110225280,Minister of Science and Innovation
Q54906436,"Minister of Science, Innovation and Universities"
Q81924131,Minister for Social Rights and 2030 Agenda
Q23636106,Minister of Territorial Policy
Q54906268,Minister for Territorial Policy
Q26262735,Minister of the Treasury
Q56582240,Minister of Universal Healthcare and Public Health
Q108125577,Minister for Universities
Q3398875,Government Spokesperson
Q1335465,President of the Spanish Senate
Q17014422,President of the Congress of Deputies
Q3406493,Attorney-General
Q529901,Solicitor General
Q6352222,Governor of the Bank of Spain
Q5928975,Chief of the Defence Staff
