position,title
Q2748453,President of the Junta of Andalusia
Q3133842,President of the Government of Aragon
Q3320056,President of the Principality of Asturias
Q13710953,President of the Balearic Islands
Q1124265,President of the Basque Autonomous Community
Q967418,President of the Canary Islands
Q47358,President of Cantabria
Q4892213,President of the Junta of Castile and León
Q3272746,President of Castile-La Mancha
Q16933549,President of the Generalitat of Catalonia
Q3133837,President of the Community of Madrid
Q3049413,President of Extremadura
Q3409188,President of the Xunta of Galicia
Q3049394,President of La Rioja
Q3753803,President of Navarre
Q5199072,President of the Region of Murcia
Q6745827,Mayor-President of Ceuta
Q30727487,Mayor-President of the Autonomous City of Melilla
Q57632821,President of the Metropolitan Area of Barcelona
Q107261078,ambassador to Afghanistan
Q41486618,ambassador to Albania
Q55238445,ambassador to Algeria
Q110787866,ambassador to Angola
Q107223714,ambassador to Antigua and Barbuda
Q32979761,ambassador to Argentina
Q55076957,ambassador to Armenia
Q107097472,ambassador to Australia
Q42942878,ambassador to Austria
Q107162569,ambassador to Azerbaijan
Q107324733,ambassador to Bahrain
Q55658996,ambassador to Bangladesh
Q55077642,ambassador to Belarus
Q32979719,ambassador to Belgium
Q98539289,ambassador to Belize
Q107145377,ambassador to Bhutan
Q43466068,ambassador to Bolivia
Q55083635,ambassador to Bosnia and Herzegovina
Q42132154,ambassador to Brazil
Q55070543,ambassador to Bulgaria
Q107463275,ambassador to Cambodia
Q43236652,ambassador to Canada
Q43227572,ambassador to Chile
Q41486774,ambassador to Colombia
Q55662521,ambassador to Costa Rica
Q107134703,ambassador to Croatia
Q43831972,ambassador to Cuba
Q55662707,ambassador to Cyprus
Q39399868,ambassador to Denmark
Q43198544,ambassador to Dominican Republic
Q41486046,ambassador to Ecuador
Q43241142,ambassador to Egypt
Q107145127,ambassador to El Salvador
Q107088636,ambassador to Equatorial Guinea
Q65262016,ambassador to Estonia
Q29897939,ambassador to Ethiopia
Q107223456,ambassador to Fiji
Q43272066,ambassador to Finland
Q27969744,ambassador to France
Q55070636,ambassador to Georgia
Q32980476,ambassador to Germany
Q43802910,ambassador to Greece
Q41480858,ambassador to Guatemala
Q77974230,ambassador to Haiti
Q41485956,ambassador to Honduras
Q39400879,ambassador to Hungary
Q55075047,ambassador to Iceland
Q107165027,ambassador to India
Q55261204,ambassador to Indonesia
Q46051201,ambassador to Iran
Q42950010,ambassador to Iraq
Q110635880,ambassador to Israel
Q42898709,ambassador to Italy
Q107223672,ambassador to Jamaica
Q41485207,ambassador to Japan
Q43233600,ambassador to Jordan
Q106458059,ambassador to Kazakhstan
Q47165815,ambassador to Kenya
Q55074391,ambassador to Korea
Q107185520,ambassador to Kuwait
Q107185332,ambassador to Kyrgyzstan
Q107463288,ambassador to Laos
Q54911218,ambassador to Latvia
Q55312899,ambassador to Lebanon
Q6348414,ambassador to Libya
Q55071191,ambassador to Liechtenstein
Q107098499,ambassador to Lithuania
Q44431784,ambassador to Luxembourg
Q107463205,ambassador to Malaysia
Q107126367,ambassador to Mali
Q54906720,ambassador to Malta
Q107058011,ambassador to Mauritania
Q41486879,ambassador to Mexico
Q43260424,ambassador to Moldova
Q47462226,ambassador to Mongolia
Q107185199,ambassador to Montenegro
Q37466528,ambassador to Morocco
Q107242306,ambassador to Nepal
Q41481178,ambassador to Netherlands
Q107185111,ambassador to New Zealand
Q55313424,ambassador to Nicaragua
Q55662436,ambassador to Niger
Q107145064,ambassador to North Macedonia
Q55075179,ambassador to Norway
Q107242594,ambassador to Oman
Q77974932,ambassador to Pakistan
Q107133795,ambassador to Palau
Q55313269,ambassador to Panama
Q107223571,ambassador to Papua New Guinea
Q42920755,ambassador to Paraguay
Q41481029,ambassador to People's Republic of China
Q29970206,ambassador to Peru
Q43236792,ambassador to Philippines
Q42921648,ambassador to Poland
Q37140063,ambassador to Portugal
Q107185088,ambassador to Qatar
Q55063272,ambassador to Republic of Ireland
Q43260263,ambassador to Romania
Q40033530,ambassador to Russia
Q55075674,ambassador to Rwanda
Q107261412,ambassador to Samoa
Q48827620,ambassador to San Marino
Q107335089,ambassador to Saudi Arabia
Q110801473,ambassador to Serbia
Q55070977,ambassador to Singapore
Q43260554,ambassador to Slovakia
Q66208011,ambassador to Slovenia
Q55237606,ambassador to South Africa
Q107392588,ambassador to South Korea
Q107242344,ambassador to Sri Lanka
Q55237702,ambassador to Sudan
Q40033926,ambassador to Sweden
Q41481341,ambassador to Switzerland
Q41486150,ambassador to Syria
Q110639042,ambassador to Taiwan
Q107366055,ambassador to Tajikistan
Q107174344,ambassador to Thailand
Q107223376,ambassador to Tonga
Q107144853,ambassador to Trinidad and Tobago
Q55660743,ambassador to Tunisia
Q44098861,ambassador to Turkey
Q55077650,ambassador to Turkmenistan
Q30087416,ambassador to Ukraine
Q41485413,ambassador to United Arab Emirates
Q43542408,ambassador to the United Kingdom
Q27969671,ambassador to the United States of America
Q43230264,ambassador to Uruguay
Q55076978,ambassador to Uzbekistan
Q107223505,ambassador to Vanuatu
Q30102934,ambassador to the Holy See
Q43230566,ambassador to Venezuela
Q107452122,ambassador to Vietnam
Q107185140,ambassador to Yemen
Q110628348,ambassador to Yugoslavia
Q55284665,Permanent Representative to the OECD
Q27969749,Permanent Representative to the United Nations
Q6348379,ambassador of Spain
