position,title
Q18171345,Member of the Congress of Deputies
Q19323171,Member of the Senate of Spain
Q20177806,Member of the Parliament of Andalusia
Q42407451,Member of the Cortes of Aragon
Q63760146,Member of the General Junta of the Principality of Asturias
Q28137076,Member of the Parliament of the Balearic Islands
Q28778415,Member of the Basque Parliament
Q58337991,Member of the Parliament of the Canary Islands
Q43183194,Member of the Parliament of Cantabria
Q22998723,Member of the Parliament of Castile-La Mancha
Q22998960,Member of the Cortes of Castile and León
Q18714088,Member of the Parliament of Catalonia
Q22999968,Member of the Assembly of Extremadura
Q43198218,Member of the Parliament of Galicia
Q45901806,Deputy of the Parliament of La Rioja
Q22998436,Member of the Assembly of Madrid
Q29996650,Deputy in the Regional Assembly of Murcia
Q60226157,Member of the Parliament of Navarre
Q21609684,Member of the Corts Valencianes
Q96324141,Member of the Assembly of Ceuta
Q96324146,Member of the Assembly of Melilla
