position,title
Q15971570,President of the Generalitat Valenciana
Q64800519,Vice President of the Generalitat Valenciana
Q64800604,Minister for Equality and Inclusive Policies
Q104661247,"Minister for Participation, Transparency, Cooperation and Democratic Quality"
Q106917972,Minister of Agriculture
Q109370768,"Minister of Agriculture, Environment, Climate Change and Rural Development"
Q90404747,"Minister of Agriculture, Fisheries and Food"
Q106890126,"Minister of Agriculture, Fisheries, Food and Water"
Q77804914,"Minister of Agriculture, Rural Development, Climate Emergency and Ecological Transition"
Q109370796,Minister of Cooperation and Participation
Q107797314,Minister of Culture
Q43161030,Minister of Culture and Education
Q107632519,Minister of Culture and Sport
Q57783925,"Minister of Culture, Education and Sport"
Q86458027,Minister of Economy and Finance
Q106907671,"Minister of Economy, Finance and Employment"
Q107170767,"Minister of Economy, Industry, Tourism and Employment"
Q106813182,"Minister of Economy, Trade and Industry"
Q105283254,Minister of Education
Q111302292,Minister of Education and Culture
Q111280020,Minister of Education and Science
Q111131012,"Minister of Education, Culture and Science"
Q107233736,"Minister of Education, Culture and Sport"
Q106890025,"Minister of Education, Training and Employment"
Q106768659,Minister of Employment
Q105343582,Minister of Finance and Economic Model
Q106903240,Minister of Finance and Public Administration
Q107340074,Minister of Government and Justice
Q106768632,Minister of Health
Q111279981,Minister of Health and Social Security
Q105325251,"Minister of Health, Employment and Social Security"
Q105370300,Minister of Housing and Bioclimatic Architecture
Q105997278,"Minister of Housing, Public Works and Spatial Planning"
Q106824958,Minister of Industry and Trade
Q106891926,"Minister of Industry, Trade and Innovation"
Q106807027,"Minister of Industry, Trade and Tourism"
Q109350779,Minister of Infrastructure and Transport
Q106162142,"Minister of Infrastructure, Territory and Environment"
Q106162666,"Minister of Innovation, Universities, Science and the Digital Society"
Q57783898,Minister of Institutional Relations
Q106774131,Minister of Justice and Public Administration
Q56426149,"Minister of Justice, Public Administration, Democratic Reforms and Public Liberties"
Q106807040,Minister of Labour and Social Affairs
Q105344136,Minister of Public Administration
Q106918017,Minister of Public Works and Town Planning
Q106768683,"Minister of Public Works, Town Planning and Transport"
Q90404737,Minister of Social Welfare
Q106768615,Minister of Solidarity and Citizenship
Q107234173,"Minister of Sustainable Economy, Productive Sectors, Trade and Employment"
Q105393879,"Minister of Territorial Policy, Public Works and Mobility"
Q57783780,Minister of Territory and Housing
Q106918034,Minister of Tourism
Q107632290,"Minister of Tourism, Culture and Sport"
Q111271943,Minister of Transport and Social Welfare
Q56582240,Minister of Universal Health and Public Health
Q111131026,Minister of the Environment
Q90404701,"Minister of the Environment, Water, Town Planning and Housing"
Q106774262,Minister of the Interior
Q105283729,Minister of the Presidency
